910GSEVNSIS,Seven Sisters Rail Station,NaptanRailStation,51.582268,-0.07527,london-overground,no,2,"South Hampstead Railway Station,156 Loudoun Road,South Hampstead,NW8 0DJ"
910GSHADWEL,Shadwell Rail Station,NaptanRailStation,51.511284,-0.056934,london-overground,no,2,"Shepherd's Bush station,Holland Park Roundabout,Shepherd's Bush,London,W12 8LB"
910GSHMPSTD,South Hampstead Rail Station,NaptanRailStation,51.541432,-0.178878,london-overground,no,1,"Shoreditch High Street station,Bethnal Green Road,Shoreditch,London,E1 6GJ"
910GSHPDSB,Shepherds Bush Rail Station,NaptanRailStation,51.505285,-0.217654,london-overground,yes,4,"Sterling Way,Edmonton,N18 2UE"
910GSHRDHST,Shoreditch High Street Rail Station,NaptanRailStation,51.523375,-0.075246,london-overground,yes,4,"South Kenton,London Overground Ltd.,Windermere Road,Preston,HA9 8RD"
910GSIVRST,Silver Street Rail Station,NaptanRailStation,51.614688,-0.06724,london-overground,yes,2/3,"Stratford Station BR Station St,London,E15 1DE"
910GSKENTON,South Kenton Rail Station,NaptanRailStation,51.570214,-0.308462,london-overground,yes,3,"St James Street (Walthamstow ) stat,St James Street,Walthamstow,London,E17 7PJ"
910GSTFD,Stratford (London) Rail Station,NaptanRailStation,51.541895,-0.003397,london-overground,yes,2,"Station Approach,Stoke Newington,N16 6YA"
910GSTJMSST,St James Street (London) Rail Station,NaptanRailStation,51.580981,-0.032918,london-overground,yes,3,"Amhurst Park,Stamford Hill,N16 5AG"
910GSTKNWNG,Stoke Newington Rail Station,NaptanRailStation,51.565233,-0.072887,london-overground,yes,3,"Stonebridge Park,London Overground Ltd.,North Circular Road,London,NW10 0RL"
910GSTMFDHL,Stamford Hill Rail Station,NaptanRailStation,51.574467,-0.076682,london-overground,no,3,"South Tottenham station,High Road,Tottenham,Greater London,N15 6UJ"
910GSTNBGPK,Stonebridge Park Rail Station,NaptanRailStation,51.544111,-0.275828,london-overground,no,2,"Lower Road,Rotherhithe,SE16 2UE"
910GSTOTNHM,South Tottenham Rail Station,NaptanRailStation,51.580372,-0.072103,london-overground,no,3,"Station Approach,Sydenham Road,Sydenham,SE26 5EU"
910GSURREYQ,Surrey Quays Rail Station,NaptanRailStation,51.493196,-0.047519,london-overground,yes,7,"High Street,Waltham Cross,EN8 7BG"
910GSYDENHM,Sydenham Rail Station,NaptanRailStation,51.427248,-0.054244,london-overground,yes,6,"Turkey Street,Enfield,EN3 5TT"
910GTHBLDSG,Theobalds Grove Rail Station,NaptanRailStation,51.692457,-0.034831,london-overground,yes,6,"Upminster Station NR Station Rd,Upminster,Essex,RM14 2TD"
910GTURKYST,Turkey Street Rail Station,NaptanRailStation,51.672628,-0.047217,london-overground,no,2,"Upper Holloway station,Holloway Road,Upper Holloway,Greater London,N19 4DJ"
910GUPMNSTR,Upminster Rail Station,NaptanRailStation,51.559018,0.25088,london-overground,no,2,"Wapping High Street,E1W 3PA"
910GUPRHLWY,Upper Holloway Rail Station,NaptanRailStation,51.563631,-0.129513,london-overground,yes,8,"Watford High Street Railway Station,182 Watford High Street,Watford,WD17 2NW"
910GWAPPING,Wapping Rail Station,NaptanRailStation,51.504388,-0.055931,london-overground,no,2,"Station Road,Watford,WD17 1EU"
910GWATFDHS,Watford High Street Rail Station,NaptanRailStation,51.652655,-0.391711,london-overground,yes,2,"West Brompton Station,London Underground Ltd.,Old Brompton Rd,London,SW5 9JX"
910GWATFDJ,Watford Junction Rail Station,NaptanRailStation,51.663908,-0.395925,london-overground,no,5,"Whitechapel Station,London Underground Ltd.,277 Whitechapel Rd,London,E1 1BY"
