id,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,name,host name
1948905,2883433,Hackney,51.5464861,-0.071533616,Private room,55,1,16,31/08/2015,5.45,2,330,Double room in bright Dalston flat,Paul
6206791,23570329,Camden,51.54475519,-0.136823097,Private room,55,1,7,31/08/2015,1.69,1,338,Convenient camden town double room,Del
1342479,7281294,Tower Hamlets,51.51913985,-0.053952376,Private room,55,2,110,31/08/2015,4.64,1,314,Glamorous room 10 min from West End,Carlotta
7318201,38338733,Kensington and Chelsea,51.51542407,-0.206768645,Private room,55,3,3,31/08/2015,1.8,1,288,Studio flat to rent in Notting Hill,Sophia
6450878,26379342,Tower Hamlets,51.51338392,-0.067375859,Private room,55,1,28,31/08/2015,8.66,5,116,Double Bed Tower Bridge 3,Stefano
7915576,14506803,Tower Hamlets,51.51137407,-0.066138023,Private room,55,1,1,31/08/2015,1,1,263,En Suite Room in Beautiful Loft,Page
3392149,4593781,Westminster,51.4896241,-0.148591347,Private room,55,2,49,31/08/2015,3.77,3,27,Heart of London,Nicholas
391767,1959245,Greenwich,51.48820743,0.004343996,Private room,55,1,31,31/08/2015,0.74,1,354,Double Room King Bed,Brion
315658,1620906,Lambeth,51.48277742,-0.117254288,Private room,55,1,230,31/08/2015,5.64,2,308,Double Room by Oval Cricket Ground,Graeme
6953878,2263460,Lambeth,51.45906684,-0.120321314,Private room,55,1,11,31/08/2015,6.11,2,334,QUIET DOUBLE OWN WC SHOWER ROOM,Hannah
3157146,2171492,Lambeth,51.45590983,-0.111157519,Private room,55,3,28,31/08/2015,1.85,7,175,Double Triple Bedsit in Brixton,Julieta Azul
623760,3087735,Lambeth,51.44571697,-0.125946041,Private room,55,1,34,31/08/2015,1.22,1,356,Convenient Brixton Double Room SW2,Libby
6308825,32818442,Lambeth,51.42905485,-0.136327608,Private room,55,1,4,31/08/2015,2.07,1,357,Quiet in the City Dble Bed Bath,Hatty
470434,2329442,Waltham Forest,51.55920118,-0.007157429,Entire home/apt,55,1,101,31/08/2015,3.69,1,231,Flat close to the Olympic village ,NA
7348775,35712001,Lewisham,51.47015507,-0.029438392,Entire home/apt,55,5,2,31/08/2015,1.71,1,142,Bright flat with garden in Brockley,Francesco
7952712,8060730,Lewisham,51.46770644,-0.032961471,Entire home/apt,55,1,1,31/08/2015,1,1,3,Spacious flat in beautiful Brockley,Chris
5346799,21651491,Lewisham,51.46617081,-0.043055627,Entire home/apt,55,1,4,31/08/2015,0.62,1,169,Beautiful victorian flat in London,Lora
502190,2478162,Camden,51.5477779,-0.198798368,Private room,54,1,211,31/08/2015,5.41,1,108,Double room private bath near tube,Agnes
7424890,38893595,Kensington and Chelsea,51.50876195,-0.195547529,Private room,53,1,9,31/08/2015,6.92,1,131,Room in a vibrant location in Zone1,Layla
8011263,2246560,Islington,51.52916107,-0.098890889,Private room,52,1,2,31/08/2015,2,1,323,Central London Angel Old St Zone 1,Claudia
7861763,29293723,Tower Hamlets,51.51186619,-0.063482106,Private room,52,1,3,31/08/2015,3,12,341,Tower Bridge Central Free Wi Fi TV,Mantas
4302535,830794,Westminster,51.49319486,-0.145869408,Private room,52,1,39,31/08/2015,3.64,2,38,New Single bedroom near Buckingham,Marith Audrey
7524183,2021456,Camden,51.51516514,-0.128741605,Private room,51,1,5,31/08/2015,5,1,107,GREAT AREA GREAT ROOM,Laura
5454626,28289467,Westminster,51.51720708,-0.184607856,Shared room,50,1,4,31/08/2015,0.95,1,221,Modern Couch Surf in central London,David
7285244,1560553,Hackney,51.56581517,-0.098555013,Private room,50,1,3,31/08/2015,2,1,307,Double Room in Bright Period Flat,Ginny
2682536,13732878,Camden,51.54267071,-0.142065814,Private room,50,3,66,31/08/2015,4.07,1,302,Comfy 2 3bedroom Heart of Camden,Carmel
3041696,15487258,Hackney,51.53711604,-0.079221768,Private room,50,2,44,31/08/2015,2.93,1,327,Shoreditch Canalside Apartment,Katrin
390750,1954407,Hackney,51.53536151,-0.077064882,Private room,50,3,131,31/08/2015,3.13,1,316,Double room in light airy flat,Eileen
6643837,9224272,Tower Hamlets,51.52946684,-0.070942652,Private room,50,3,11,31/08/2015,3.84,14,342,Double Room Hoxton Shoreditch PK3,Aneela
6632570,23613799,Newham,51.52831831,0.005410395,Private room,50,1,7,31/08/2015,2.96,1,334,Double Bedroom in Two Bedroom Flat,Will
623977,3094842,Tower Hamlets,51.52727967,-0.056915124,Private room,50,1,40,31/08/2015,1.78,2,87,Room in lovely warehouse flat,Carla
7697494,39932852,Camden,51.52202014,-0.118431381,Private room,50,1,1,31/08/2015,1,14,3,Double bedroom near Holborn,La
7715145,40528372,Tower Hamlets,51.51868112,-0.014831725,Private room,50,1,5,31/08/2015,5,1,1,Superking bed in AMAZING warehouse,Christina
1313622,7106582,Tower Hamlets,51.51735775,-0.074410364,Private room,50,1,91,31/08/2015,6.48,11,3,Nice and Cozy double room 16,Uros
4877638,16059269,Westminster,51.51616673,-0.186781741,Private room,50,1,48,31/08/2015,5.85,4,212,KIWI room in central London,Uros
6574284,12633787,Tower Hamlets,51.51530422,-0.057227169,Private room,50,1,1,31/08/2015,1,2,351,Quiet Modern dbl room Ensuite,Prasad
7289259,38173100,Westminster,51.51349048,-0.190543262,Private room,50,1,1,31/08/2015,1,1,357,Studio style in Nothing hill,NA
