id,url,commonName,placeType,bikePointsNo,timeModified,nFilledDocks,nEmptyDocks,nTotalDocks,lat,lon
BikePoints_135,https://api-neon.tfl.gov.uk/Place/BikePoints_135,"Clerkenwell Green, Clerkenwell",BikePoint,001053,2016-10-25T15:00:12.38Z,13,8,21,51.52326,-0.104708
BikePoints_136,https://api-neon.tfl.gov.uk/Place/BikePoints_136,"Queen Victoria Street, St. Paul's",BikePoint,001048,2016-10-25T14:55:10.127Z,26,6,32,51.511961,-0.097441
BikePoints_138,https://api-neon.tfl.gov.uk/Place/BikePoints_138,"Green Street, Mayfair",BikePoint,003464,2016-10-25T15:00:12.38Z,14,5,19,51.512276,-0.157436
BikePoints_139,https://api-neon.tfl.gov.uk/Place/BikePoints_139,"Lambeth Road, Vauxhall",BikePoint,001078,2016-10-25T15:00:12.38Z,14,3,18,51.494881,-0.117974
BikePoints_140,https://api-neon.tfl.gov.uk/Place/BikePoints_140,"Finsbury Square , Moorgate",BikePoint,001056,2016-10-25T14:55:10.127Z,28,4,33,51.520962,-0.085634
BikePoints_141,https://api-neon.tfl.gov.uk/Place/BikePoints_141,"Chapel Place, Marylebone",BikePoint,001003,2016-10-25T15:00:12.38Z,23,6,29,51.515308,-0.147203
BikePoints_142,https://api-neon.tfl.gov.uk/Place/BikePoints_142,"West Cromwell Road, Earl's Court",BikePoint,001001,2016-10-25T15:00:12.38Z,6,18,24,51.493724,-0.198286
BikePoints_143,https://api-neon.tfl.gov.uk/Place/BikePoints_143,"Pont Street, Knightsbridge",BikePoint,001114,2016-10-25T14:45:08.457Z,23,0,24,51.496886,-0.161203
BikePoints_144,https://api-neon.tfl.gov.uk/Place/BikePoints_144,"Kennington Cross, Kennington",BikePoint,001093,2016-10-25T13:39:58.18Z,22,25,47,51.48894,-0.111435
BikePoints_145,https://api-neon.tfl.gov.uk/Place/BikePoints_145,"Ilchester Place, Kensington",BikePoint,001115,2016-10-25T13:44:58.347Z,1,22,24,51.500743,-0.202759
BikePoints_146,https://api-neon.tfl.gov.uk/Place/BikePoints_146,"Vauxhall Bridge , Pimlico",BikePoint,001046,2016-10-25T14:55:10.127Z,30,4,35,51.488365,-0.129361
BikePoints_147,https://api-neon.tfl.gov.uk/Place/BikePoints_147,"Portugal Street, Holborn",BikePoint,003456,2016-10-25T14:00:00.977Z,15,1,16,51.514943,-0.116146
BikePoints_148,https://api-neon.tfl.gov.uk/Place/BikePoints_148,"Tachbrook Street, Victoria",BikePoint,000965,2016-10-25T14:55:10.127Z,10,5,16,51.492111,-0.138364
BikePoints_149,https://api-neon.tfl.gov.uk/Place/BikePoints_149,"Kennington Road Post Office, Oval",BikePoint,001073,2016-10-25T14:50:09.387Z,5,13,18,51.484788,-0.110683
BikePoints_150,https://api-neon.tfl.gov.uk/Place/BikePoints_150,"Holy Trinity Brompton, Knightsbridge",BikePoint,001002,2016-10-25T15:00:12.38Z,21,7,28,51.497056,-0.168917
BikePoints_151,https://api-neon.tfl.gov.uk/Place/BikePoints_151,"Chepstow Villas, Notting Hill",BikePoint,001120,2016-10-25T15:00:12.38Z,3,23,26,51.512136,-0.201554
